mz	KEGGID	Name	MonoisotopicMass	Adduct	AdductMass
118.98382	C00076	Calciumcation;	39.9626	M+DMSO+H	79.02122
121.959023	C00076	Calciumcation;	39.9626	2M+ACN+H	42.033823
123.02297	C00076	Calciumcation;	39.9626	M+2ACN+H	83.06037
124.01771	C00076	Calciumcation;	39.9626	M+IsoProp+Na+H	84.05511
143.940965	C00076	Calciumcation;	39.9626	2M+ACN+Na	64.015765
65.041367	C00191	D-Glucuronate;	194.0427	M+3H	1.007276
72.368681	C00191	D-Glucuronate;	194.0427	M+2H+Na	8.33459
79.800281	C00191	D-Glucuronate;	194.0427	M+H+2Na	15.76619
87.023309	C00191	D-Glucuronate;	194.0427	M+3Na	22.989218
98.028626	C00191	D-Glucuronate;	194.0427	M+2H	1.007276
106.5419	C00191	D-Glucuronate;	194.0427	M+H+NH4	9.52055
109.019597	C00191	D-Glucuronate;	194.0427	M+H+Na	11.998247
117.006567	C00191	D-Glucuronate;	194.0427	M+H+K	19.985217
118.5419	C00191	D-Glucuronate;	194.0427	M+ACN+2H	21.52055
120.010568	C00191	D-Glucuronate;	194.0427	M+2Na	22.989218
139.055173	C00191	D-Glucuronate;	194.0427	M+2ACN+2H	42.033823
159.568447	C00191	D-Glucuronate;	194.0427	M+3ACN+2H	62.547097
195.049976	C00191	D-Glucuronate;	194.0427	M+H	1.007276
212.076523	C00191	D-Glucuronate;	194.0427	M+NH4	18.033823
217.031918	C00191	D-Glucuronate;	194.0427	M+Na	22.989218
227.076189	C00191	D-Glucuronate;	194.0427	M+CH3OH+H	33.033489
233.005858	C00191	D-Glucuronate;	194.0427	M+K	38.963158
236.076523	C00191	D-Glucuronate;	194.0427	M+ACN+H	42.033823
239.01386	C00191	D-Glucuronate;	194.0427	M+2Na-H	44.97116
255.10804	C00191	D-Glucuronate;	194.0427	M+IsoProp+H	61.06534
258.058465	C00191	D-Glucuronate;	194.0427	M+ACN+Na	64.015765
270.96174	C00191	D-Glucuronate;	194.0427	M+2K+H	76.91904
273.06392	C00191	D-Glucuronate;	194.0427	M+DMSO+H	79.02122
277.10307	C00191	D-Glucuronate;	194.0427	M+2ACN+H	83.06037
278.09781	C00191	D-Glucuronate;	194.0427	M+IsoProp+Na+H	84.05511
389.092676	C00191	D-Glucuronate;	194.0427	2M+H	1.007276
406.119223	C00191	D-Glucuronate;	194.0427	2M+NH4	18.033823
411.074618	C00191	D-Glucuronate;	194.0427	2M+Na	22.989218
416.10852	C00191	D-Glucuronate;	194.0427	2M+3H2O+2H	28.02312
427.048558	C00191	D-Glucuronate;	194.0427	2M+K	38.963158
430.119223	C00191	D-Glucuronate;	194.0427	2M+ACN+H	42.033823
452.101165	C00191	D-Glucuronate;	194.0427	2M+ACN+Na	64.015765
30.052556	C00222	3-Oxopropanoate;	88.016	M+3H	1.007276
37.37987	C00222	3-Oxopropanoate;	88.016	M+2H+Na	8.33459
44.81147	C00222	3-Oxopropanoate;	88.016	M+H+2Na	15.76619
45.015276	C00222	3-Oxopropanoate;	88.016	M+2H	1.007276
52.034498	C00222	3-Oxopropanoate;	88.016	M+3Na	22.989218
53.52855	C00222	3-Oxopropanoate;	88.016	M+H+NH4	9.52055
56.006247	C00222	3-Oxopropanoate;	88.016	M+H+Na	11.998247
63.993217	C00222	3-Oxopropanoate;	88.016	M+H+K	19.985217
65.52855	C00222	3-Oxopropanoate;	88.016	M+ACN+2H	21.52055
66.997218	C00222	3-Oxopropanoate;	88.016	M+2Na	22.989218
86.041823	C00222	3-Oxopropanoate;	88.016	M+2ACN+2H	42.033823
89.023276	C00222	3-Oxopropanoate;	88.016	M+H	1.007276
106.049823	C00222	3-Oxopropanoate;	88.016	M+NH4	18.033823
106.555097	C00222	3-Oxopropanoate;	88.016	M+3ACN+2H	62.547097
111.005218	C00222	3-Oxopropanoate;	88.016	M+Na	22.989218
121.049489	C00222	3-Oxopropanoate;	88.016	M+CH3OH+H	33.033489
126.979158	C00222	3-Oxopropanoate;	88.016	M+K	38.963158
130.049823	C00222	3-Oxopropanoate;	88.016	M+ACN+H	42.033823
132.98716	C00222	3-Oxopropanoate;	88.016	M+2Na-H	44.97116
149.08134	C00222	3-Oxopropanoate;	88.016	M+IsoProp+H	61.06534
152.031765	C00222	3-Oxopropanoate;	88.016	M+ACN+Na	64.015765
164.93504	C00222	3-Oxopropanoate;	88.016	M+2K+H	76.91904
167.03722	C00222	3-Oxopropanoate;	88.016	M+DMSO+H	79.02122
171.07637	C00222	3-Oxopropanoate;	88.016	M+2ACN+H	83.06037
172.07111	C00222	3-Oxopropanoate;	88.016	M+IsoProp+Na+H	84.05511
177.039276	C00222	3-Oxopropanoate;	88.016	2M+H	1.007276
194.065823	C00222	3-Oxopropanoate;	88.016	2M+NH4	18.033823
199.021218	C00222	3-Oxopropanoate;	88.016	2M+Na	22.989218
204.05512	C00222	3-Oxopropanoate;	88.016	2M+3H2O+2H	28.02312
214.995158	C00222	3-Oxopropanoate;	88.016	2M+K	38.963158
218.065823	C00222	3-Oxopropanoate;	88.016	2M+ACN+H	42.033823
240.047765	C00222	3-Oxopropanoate;	88.016	2M+ACN+Na	64.015765
218.761538	C01204	Phyticacid;	659.8614	M+3H	1.007276
226.088852	C01204	Phyticacid;	659.8614	M+2H+Na	8.33459
233.520452	C01204	Phyticacid;	659.8614	M+H+2Na	15.76619
240.74348	C01204	Phyticacid;	659.8614	M+3Na	22.989218
330.937976	C01204	Phyticacid;	659.8614	M+2H	1.007276
339.45125	C01204	Phyticacid;	659.8614	M+H+NH4	9.52055
341.928947	C01204	Phyticacid;	659.8614	M+H+Na	11.998247
349.915917	C01204	Phyticacid;	659.8614	M+H+K	19.985217
351.45125	C01204	Phyticacid;	659.8614	M+ACN+2H	21.52055
352.919918	C01204	Phyticacid;	659.8614	M+2Na	22.989218
371.964523	C01204	Phyticacid;	659.8614	M+2ACN+2H	42.033823
392.477797	C01204	Phyticacid;	659.8614	M+3ACN+2H	62.547097
660.868676	C01204	Phyticacid;	659.8614	M+H	1.007276
677.895223	C01204	Phyticacid;	659.8614	M+NH4	18.033823
682.850618	C01204	Phyticacid;	659.8614	M+Na	22.989218
692.894889	C01204	Phyticacid;	659.8614	M+CH3OH+H	33.033489
698.824558	C01204	Phyticacid;	659.8614	M+K	38.963158
701.895223	C01204	Phyticacid;	659.8614	M+ACN+H	42.033823
704.83256	C01204	Phyticacid;	659.8614	M+2Na-H	44.97116
720.92674	C01204	Phyticacid;	659.8614	M+IsoProp+H	61.06534
723.877165	C01204	Phyticacid;	659.8614	M+ACN+Na	64.015765
736.78044	C01204	Phyticacid;	659.8614	M+2K+H	76.91904
738.88262	C01204	Phyticacid;	659.8614	M+DMSO+H	79.02122
742.92177	C01204	Phyticacid;	659.8614	M+2ACN+H	83.06037
743.91651	C01204	Phyticacid;	659.8614	M+IsoProp+Na+H	84.05511
1320.730076	C01204	Phyticacid;	659.8614	2M+H	1.007276
1337.756623	C01204	Phyticacid;	659.8614	2M+NH4	18.033823
1342.712018	C01204	Phyticacid;	659.8614	2M+Na	22.989218
1347.74592	C01204	Phyticacid;	659.8614	2M+3H2O+2H	28.02312
1358.685958	C01204	Phyticacid;	659.8614	2M+K	38.963158
1361.756623	C01204	Phyticacid;	659.8614	2M+ACN+H	42.033823
1383.738565	C01204	Phyticacid;	659.8614	2M+ACN+Na	64.015765
53.819552	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+3H	1.007276
61.146866	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+2H+Na	8.33459
68.578466	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+H+2Na	15.76619
75.801494	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+3Na	22.989218
81.025876	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+2H	1.007276
89.53915	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+H+NH4	9.52055
92.016847	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+H+Na	11.998247
100.003817	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+H+K	19.985217
101.53915	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+ACN+2H	21.52055
103.007818	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+2Na	22.989218
122.052423	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+2ACN+2H	42.033823
142.565697	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+3ACN+2H	62.547097
161.044476	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+H	1.007276
178.071023	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+NH4	18.033823
183.026418	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+Na	22.989218
193.070689	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+CH3OH+H	33.033489
199.000358	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+K	38.963158
202.071023	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+ACN+H	42.033823
205.00836	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+2Na-H	44.97116
221.10254	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+IsoProp+H	61.06534
224.052965	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+ACN+Na	64.015765
236.95624	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+2K+H	76.91904
239.05842	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+DMSO+H	79.02122
243.09757	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+2ACN+H	83.06037
244.09231	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	M+IsoProp+Na+H	84.05511
321.081676	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	2M+H	1.007276
338.108223	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	2M+NH4	18.033823
343.063618	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	2M+Na	22.989218
348.09752	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	2M+3H2O+2H	28.02312
359.037558	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	2M+K	38.963158
362.108223	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	2M+ACN+H	42.033823
384.090165	C04287	"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione;"	160.0372	2M+ACN+Na	64.015765
86.151929	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+3H	1.007276
93.479243	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+2H+Na	8.33459
100.910843	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+H+2Na	15.76619
108.133871	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+3Na	22.989218
130.014326	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+2H	1.007276
138.5276	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+H+NH4	9.52055
141.005297	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+H+Na	11.998247
148.992267	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+H+K	19.985217
150.5276	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+ACN+2H	21.52055
151.996268	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+2Na	22.989218
171.040873	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+2ACN+2H	42.033823
191.554147	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+3ACN+2H	62.547097
259.021376	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+H	1.007276
276.047923	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+NH4	18.033823
281.003318	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+Na	22.989218
291.047589	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+CH3OH+H	33.033489
296.977258	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+K	38.963158
300.047923	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+ACN+H	42.033823
302.98526	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+2Na-H	44.97116
319.07944	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+IsoProp+H	61.06534
322.029865	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+ACN+Na	64.015765
334.93314	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+2K+H	76.91904
337.03532	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+DMSO+H	79.02122
341.07447	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+2ACN+H	83.06037
342.06921	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	M+IsoProp+Na+H	84.05511
517.035476	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	2M+H	1.007276
534.062023	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	2M+NH4	18.033823
539.017418	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	2M+Na	22.989218
544.05132	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	2M+3H2O+2H	28.02312
554.991358	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	2M+K	38.963158
558.062023	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	2M+ACN+H	42.033823
580.043965	C06893	2-Deoxy-5-keto-D-gluconicacid6-phosphate;	258.0141	2M+ACN+Na	64.015765
187.480706	C19794	CDP-1L-myo-inositol	565.071	M+3H	1.007276
194.80802	C19794	CDP-1L-myo-inositol	565.071	M+2H+Na	8.33459
202.23962	C19794	CDP-1L-myo-inositol	565.071	M+H+2Na	15.76619
209.462648	C19794	CDP-1L-myo-inositol	565.071	M+3Na	22.989218
283.542776	C19794	CDP-1L-myo-inositol	565.071	M+2H	1.007276
292.05605	C19794	CDP-1L-myo-inositol	565.071	M+H+NH4	9.52055
294.533747	C19794	CDP-1L-myo-inositol	565.071	M+H+Na	11.998247
302.520717	C19794	CDP-1L-myo-inositol	565.071	M+H+K	19.985217
304.05605	C19794	CDP-1L-myo-inositol	565.071	M+ACN+2H	21.52055
305.524718	C19794	CDP-1L-myo-inositol	565.071	M+2Na	22.989218
324.569323	C19794	CDP-1L-myo-inositol	565.071	M+2ACN+2H	42.033823
345.082597	C19794	CDP-1L-myo-inositol	565.071	M+3ACN+2H	62.547097
566.078276	C19794	CDP-1L-myo-inositol	565.071	M+H	1.007276
583.104823	C19794	CDP-1L-myo-inositol	565.071	M+NH4	18.033823
588.060218	C19794	CDP-1L-myo-inositol	565.071	M+Na	22.989218
598.104489	C19794	CDP-1L-myo-inositol	565.071	M+CH3OH+H	33.033489
604.034158	C19794	CDP-1L-myo-inositol	565.071	M+K	38.963158
607.104823	C19794	CDP-1L-myo-inositol	565.071	M+ACN+H	42.033823
610.04216	C19794	CDP-1L-myo-inositol	565.071	M+2Na-H	44.97116
626.13634	C19794	CDP-1L-myo-inositol	565.071	M+IsoProp+H	61.06534
629.086765	C19794	CDP-1L-myo-inositol	565.071	M+ACN+Na	64.015765
641.99004	C19794	CDP-1L-myo-inositol	565.071	M+2K+H	76.91904
644.09222	C19794	CDP-1L-myo-inositol	565.071	M+DMSO+H	79.02122
648.13137	C19794	CDP-1L-myo-inositol	565.071	M+2ACN+H	83.06037
649.12611	C19794	CDP-1L-myo-inositol	565.071	M+IsoProp+Na+H	84.05511
1131.149276	C19794	CDP-1L-myo-inositol	565.071	2M+H	1.007276
1148.175823	C19794	CDP-1L-myo-inositol	565.071	2M+NH4	18.033823
1153.131218	C19794	CDP-1L-myo-inositol	565.071	2M+Na	22.989218
1158.16512	C19794	CDP-1L-myo-inositol	565.071	2M+3H2O+2H	28.02312
1169.105158	C19794	CDP-1L-myo-inositol	565.071	2M+K	38.963158
1172.175823	C19794	CDP-1L-myo-inositol	565.071	2M+ACN+H	42.033823
1194.157765	C19794	CDP-1L-myo-inositol	565.071	2M+ACN+Na	64.015765
166.683413	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+3H	1.007276
174.010727	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+2H+Na	8.33459
181.442327	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+H+2Na	15.76619
188.665355	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+3Na	22.989218
252.031726	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+2H	1.007276
260.545	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+H+NH4	9.52055
263.022697	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+H+Na	11.998247
271.009667	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+H+K	19.985217
272.545	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+ACN+2H	21.52055
274.013668	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+2Na	22.989218
293.058273	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+2ACN+2H	42.033823
313.571547	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+3ACN+2H	62.547097
503.056176	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+H	1.007276
520.082723	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+NH4	18.033823
525.038118	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+Na	22.989218
535.082389	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+CH3OH+H	33.033489
541.012058	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+K	38.963158
544.082723	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+ACN+H	42.033823
547.02006	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+2Na-H	44.97116
563.11424	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+IsoProp+H	61.06534
566.064665	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+ACN+Na	64.015765
578.96794	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+2K+H	76.91904
581.07012	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+DMSO+H	79.02122
585.10927	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+2ACN+H	83.06037
586.10401	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	M+IsoProp+Na+H	84.05511
1005.105076	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	2M+H	1.007276
1022.131623	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	2M+NH4	18.033823
1027.087018	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	2M+Na	22.989218
1032.12092	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	2M+3H2O+2H	28.02312
1043.060958	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	2M+K	38.963158
1046.131623	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	2M+ACN+H	42.033823
1068.113565	C19799	"Bis(1L-myo-inositol)-3,1'-phosphate1-phosphate"	502.0489	2M+ACN+Na	64.015765
